点検掲示種類ID,点検工事案内,受注カテゴリーID,掲示板に表示する,案内TPLNo,掲示板用案内文,frame_No,案内画像,概要,表示開始日前日数,表示終了日後日数,表示時間,統合ポリシー
1,エレベーター定期点検,8,True,elevator_inspection,"点検中はエレベーター停止致します。_x000D_
ご不便をおかけします。",2,,,30,0,1900-12-30 00:00:12,M
2,リモート点検,8,False,elevator_inspection,,2,,,30,0,1900-12-30 00:00:12,M
3,建物設備点検,4,True,building_inspection,点検のため、マンション内に調査員が立ち入りいたします。,2,,,30,0,1900-12-30 00:00:12,M
4,消防設備点検,9,True,fire_inspection,消防法令　第17条3の3に基づく消防設備点検です。避難器具の周囲には障害物を置かないで下さい是正対象となります。当日点検に伺う場合があります。点検予定希望日の事前アンケートにご協力下さい。,2,fire_inspection.pdf,,30,0,1900-12-30 00:00:12,M
5,貯水槽清掃（断水）,10,True,simple_dedicated_water_supply,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
6,簡易専用水道検査,11,True,building_inspection,点検のため、マンション内に調査員が立ち入り貯水槽の水質検査を行います。,2,,,30,0,1900-12-30 00:00:12,M
7,自動扉点検,12,True,automatic_doors,点検のため、マンション内に点検員が立ち入りいたします。点検中に、オートロックが反応しない場合は点検員へお声をかけて頂きますよう、お願い致します。,2,,,30,0,1900-12-30 00:00:12,M
8,機械式駐車場点検,13,True,mechanical_parking,"作業状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は作業員へお声をかけて頂きますよう、お願い致します。_x000D_
＊雨天・緊急等の場合　順延する場合があります。",2,,,30,0,1900-12-30 00:00:12,M
9,タワー式駐車場点検,14,True,tower_mechanical_parking,"作業状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は作業員へお声をかけて頂きますよう、お願い致します。_x000D_
＊雨天・緊急等の場合　順延する場合がございます。",2,,,30,0,1900-12-30 00:00:12,M
10,防犯カメラ点検,16,True,surveillance_camera,点検のため、マンション内に点検員が立ち入りいたします。,2,surveillance_camera.pdf,,30,0,1900-12-30 00:00:12,M
11,防犯カメラ取付工事,16,True,surveillance_camera_installation_work,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
12,給水ポンプ点検（断水）,17,True,water_supply_pump_construction,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
13,定期清掃,19,True,cleaning,床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。,2,cleaning.pdf,,30,0,1900-12-30 00:00:12,M
14,特別清掃,20,True,cleaning,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,,,30,0,1900-12-30 00:00:12,M
